application_id,candidate_id,department,job_title,job_level,source_channel,region,education_level,gender,recruiter,application_date,years_experience,passed_screening,assessment_score,interview_rounds,offer_extended,offer_accepted,hired,final_stage,rejection_reason,time_to_hire_days,cost_per_applicant
APP-100382,CAND-943253,Data & Analytics,Data Analyst,Lead,Employee Referral,North America,Bachelor's,Male,D. Boateng,2024-09-02,15.0,True,78.2,0,False,False,False,Assessment,Rejected at Assessment,,1447.68
APP-100002,CAND-570459,Sales,Sales Development Rep,Junior,Job Board,Unknown,PhD,Female,A. Mensah,2025-08-29,2.9,True,52.1,0,False,False,False,Screened,Failed Assessment,,1386.37
APP-101684,CAND-989830,Data & Analytics,Analytics Engineer,Senior,Company Website,North America,Bachelor's,Female,C. Adjei,2024-05-04,5.3,False,,0,False,False,False,Applied,Rejected at Screening,,723.22
APP-101322,CAND-1020959,Engineering,QA Engineer,Mid,Job Board,EMEA,Master's,Male,A. Mensah,2025-05-05,4.6,False,,0,False,False,False,Applied,Rejected at Screening,,3573.46
APP-100669,CAND-577203,Sales,Solutions Consultant,Mid,Job Board,EMEA,Diploma,Female,A. Mensah,2024-05-29,5.6,True,59.9,0,False,False,False,Screened,Failed Assessment,,3246.06
APP-101153,CAND-465206,Sales,Sales Development Rep,Junior,Job Board,EMEA,Master's,Female,A. Mensah,2024-05-19,2.0,True,50.9,0,False,False,False,Screened,Failed Assessment,,499.89
APP-100917,CAND-296650,Sales,Account Executive,Senior,Employee Referral,LATAM,Master's,Male,B. Owusu,2025-09-27,8.9,True,54.5,0,False,False,False,Screened,Failed Assessment,,839.29
APP-101116,CAND-1190334,Marketing,Content Strategist,Junior,Company Website,APAC,Bachelor's,Female,C. Adjei,2025-09-01,2.0,True,51.6,0,False,False,False,Screened,Failed Assessment,,351.94
APP-101046,CAND-362850,Data & Analytics,Analytics Engineer,Mid,Job Board,APAC,Bachelor's,Female,D. Boateng,2024-09-02,2.4,True,55.8,0,False,False,False,Screened,Failed Assessment,,4526.93
APP-100495,CAND-524036,Engineering,Engineering Manager,Mid,Job Board,APAC,Master's,Male,D. Boateng,2025-02-22,2.1,True,48.0,0,False,False,False,Screened,Failed Assessment,,3219.63
